bird.id,soc.trt,inf.feed,comb.trt,cage.id,time.norm,time.nov,status.norm,status.nov
2572,fl,i,fl.i,4,443.766,2659.354,1,1
2610,fl,c,fl.c,4,192.906,2453.697,1,1
2586,fl,i,fl.i,4,77.406,2781.159,1,1
2596,fl,c,fl.c,4,167.62,3195.18,1,0
2600,fl,c,fl.c,4,131.903,2399.378,1,1
2573,s,c,s.c,9,652.94,3047.23,1,0
2579,fl,i,fl.i,5,73.676,3155.48,1,0
2588,fl,i,fl.i,5,87.492,3155.48,1,0
2583,fl,i,fl.i,5,827.255,3155.48,1,0
2598,fl,i,fl.i,5,319.466,3155.48,1,0
2605,fl,c,fl.c,5,289.507,3155.48,1,0
2580,s,c,s.c,12,266.415,3199.4,1,0
2585,fl,i,fl.i,1,105.407,3161.83,1,0
2597,fl,c,fl.c,1,151.656,3161.83,1,0
2590,fl,c,fl.c,1,123.905,3161.83,1,0
2593,fl,i,fl.i,1,906.173,3161.83,1,0
2602,fl,c,fl.c,1,113.152,3161.83,1,0
2594,s,i,s.i,8,3226.633,3239.581,0,0
2599,s,i,s.i,3,408.667,3192.83,1,0
2603,s,c,s.c,11,52.161,3199.4,1,0
2606,s,i,s.i,7,2377.839,3226.92,0,0
2607,s,i,s.i,6,2422.318,3187.09,0,0
2609,fl,i,fl.i,2,1544.278,2244.567,1,1
2582,fl,c,fl.c,2,305.202,695.346,1,1
2574,fl,i,fl.i,2,296.441,1244.053,1,1
2577,fl,c,fl.c,2,725.354,1041.287,1,1
2592,fl,c,fl.c,2,248.925,552.385,1,1
2611,s,c,s.c,10,2214.051,3047.23,1,0
2617,s,c,s.c,22,800.909,3246.29,1,0
2621,fl,i,fl.i,14,2249.637,3032.38,1,0
2714,fl,c,fl.c,14,208.236,2454.842,1,1
2666,fl,i,fl.i,14,2180.671,2532.55,1,1
2673,fl,c,fl.c,14,90.036,2127.366,1,1
2711,fl,c,fl.c,14,102.848,2114.558,1,1
2622,fl,i,fl.i,16,512.454,3126.62,1,0
2674,fl,i,fl.i,16,135.047,1194.777,1,1
2612,fl,i,fl.i,16,157.368,1032.395,1,1
2626,fl,i,fl.i,16,147.363,1266.426,1,1
2669,fl,i,fl.i,16,213.686,970.627,1,1
2624,s,c,s.c,23,1109.66,2265.9,1,0
2629,s,c,s.c,21,1054.638,3246.29,1,0
2642,s,i,s.i,18,1520.256,3163.13,1,0
2649,s,i,s.i,19,1136.046,3215.48,1,0
2653,s,c,s.c,24,1151.402,2124.321,1,1
2656,s,i,s.i,15,2665.62,3112.17,0,0
2700,fl,i,fl.i,13,125.29,1018.961,1,1
2677,fl,i,fl.i,13,425.317,1288.22,1,1
2639,fl,i,fl.i,13,330.15,1575.86,1,1
2661,fl,i,fl.i,13,1069.542,3088.12,1,0
2696,fl,c,fl.c,13,134.266,1094.78,1,1
2707,fl,i,fl.i,17,294.598,3111.31,1,0
2635,fl,i,fl.i,17,107.756,3111.31,1,0
2680,fl,c,fl.c,17,328.29,3111.31,1,0
2688,fl,c,fl.c,17,217.652,3111.31,1,0
2701,fl,i,fl.i,17,66.401,3111.31,1,0
2716,s,i,s.i,20,2914.2,3250.75,0,0
