bird.id,soc.trt,inf.pred,comb.trt,cage.id,time,status
2572,fl,i,fl.i,4,0.749,1
2610,fl,c,fl.c,4,0.998,1
2586,fl,i,fl.i,4,0.737,1
2596,fl,c,fl.c,4,0.736,1
2600,fl,i,fl.i,4,0.736,1
2573,s,c,s.c,9,0.776,1
2579,fl,i,fl.i,5,0,1
2588,fl,i,fl.i,5,1.001,1
2583,fl,i,fl.i,5,1.027,1
2598,fl,i,fl.i,5,2.01,0
2605,fl,c,fl.c,5,0.761,1
2580,s,c,s.c,12,1.109,1
2585,fl,i,fl.i,1,1.032,1
2597,fl,c,fl.c,1,0.506,1
2590,fl,c,fl.c,1,0.769,1
2593,fl,i,fl.i,1,0.095,1
2602,fl,c,fl.c,1,1.504,1
2594,s,i,s.i,8,2.245,0
2599,s,i,s.i,3,1.51,1
2603,s,c,s.c,11,0.751,1
2606,s,i,s.i,7,1.752,1
2607,s,i,s.i,6,1.492,1
2609,fl,i,fl.i,2,0.027,1
2582,fl,c,fl.c,2,1.994,1
2574,fl,i,fl.i,2,1.605,1
2577,fl,c,fl.c,2,0.732,1
2592,fl,c,fl.c,2,0.993,1
2611,s,c,s.c,10,1.526,1
2617,s,c,s.c,22,1.05,1
2621,fl,i,fl.i,14,1.028,1
2714,fl,c,fl.c,14,1.246,1
2666,fl,i,fl.i,14,1.244,1
2673,fl,c,fl.c,14,1.493,1
2711,fl,c,fl.c,14,1.249,1
2622,fl,i,fl.i,16,1.004,1
2674,fl,i,fl.i,16,1,1
2612,fl,i,fl.i,16,0.966,1
2626,fl,i,fl.i,16,1.245,1
2669,fl,i,fl.i,16,1.504,1
2624,s,c,s.c,23,1.006,1
2629,s,c,s.c,21,2.54,0
2642,s,i,s.i,18,1.37,1
2649,s,i,s.i,19,1.2,1
2653,s,c,s.c,24,0.96,1
2656,s,i,s.i,15,1.496,0
2700,fl,i,fl.i,13,1,1
2677,fl,i,fl.i,13,1.288,1
2639,fl,i,fl.i,13,1.035,1
2661,fl,i,fl.i,13,0.753,1
2696,fl,i,fl.i,13,1.092,1
2707,fl,i,fl.i,17,1.002,1
2635,fl,i,fl.i,17,2.749,0
2680,fl,c,fl.c,17,1.25,1
2688,fl,c,fl.c,17,1.255,1
2701,fl,i,fl.i,17,1.249,1
2716,s,i,s.i,20,1.039,1
